#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ML011610a-PA         -          COG0666              -                  0 1622.7  49.7   2.8e-50  171.0   0.4  15.0   2   2  13  16  16  16  16 -
ML017412a-PA         -          COG0666              -            3.8e-27   95.2   0.4   5.7e-27   94.6   0.4   1.2   1   0   0   1   1   1   1 -
ML01445a-PA          -          COG0666              -            3.8e-27   95.2   0.1   8.6e-27   94.1   0.1   1.5   1   1   0   1   1   1   1 -
ML09019a-PA          -          COG0666              -              4e-27   95.2   0.4   6.5e-27   94.5   0.4   1.3   1   0   0   1   1   1   1 -
ML10808a-PA          -          COG0666              -            4.5e-27   95.0   1.2   4.1e-18   65.7   0.0   2.9   2   1   1   3   3   3   2 -
ML190616a-PA         -          COG0666              -            2.5e-25   89.3   0.1   3.4e-25   88.8   0.1   1.1   1   0   0   1   1   1   1 -
ML02872a-PA          -          COG0666              -            5.1e-25   88.3   1.9   1.6e-24   86.7   2.0   1.6   1   1   0   1   1   1   1 -
ML001127a-PA         -          COG0666              -            1.3e-24   87.0   0.7   2.6e-24   86.0   0.7   1.5   1   0   0   1   1   1   1 -
ML02411a-PA          -          COG0666              -            1.6e-24   86.7   0.1   2.7e-24   85.9   0.1   1.3   1   0   0   1   1   1   1 -
ML343428a-PA         -          COG0666              -            2.4e-24   86.1   0.3   1.1e-11   44.6   0.5   2.9   1   1   1   2   2   2   2 -
ML06707a-PA          -          COG0666              -            3.2e-24   85.6   0.7   5.4e-24   84.9   0.7   1.3   1   0   0   1   1   1   1 -
ML01417a-PA          -          COG0666              -            4.4e-24   85.2   1.1   8.1e-24   84.3   0.5   1.7   1   1   0   2   2   1   1 -
ML13779a-PA          -          COG0666              -              7e-24   84.5   0.0   5.6e-22   78.3   0.0   2.0   1   1   0   1   1   1   1 -
ML137119a-PA         -          COG0666              -            2.7e-23   82.6   1.0   7.6e-23   81.2   0.4   2.0   2   0   0   2   2   1   1 -
ML219313a-PA         -          COG0666              -            4.7e-23   81.8   0.0   6.2e-16   58.5   0.0   2.9   1   1   1   2   2   2   2 -
ML055914a-PA         -          COG0666              -            5.7e-23   81.6   0.3   2.8e-20   72.7   0.5   2.3   1   1   1   2   2   2   2 -
ML25994a-PA          -          COG0666              -            2.6e-22   79.4   0.1   5.9e-13   48.8   0.6   3.1   1   1   1   2   2   2   2 -
ML45397a-PA          -          COG0666              -            1.4e-21   77.0   0.0   2.3e-21   76.3   0.0   1.2   1   0   0   1   1   1   1 -
ML21021a-PA          -          COG0666              -            1.6e-21   76.8   0.4   4.4e-14   52.4   0.3   2.5   1   1   1   2   2   2   2 -
ML320914a-PA         -          COG0666              -            3.8e-21   75.6   0.1   7.2e-14   51.8   0.0   2.2   1   1   1   2   2   2   2 -
ML204421a-PA         -          COG0666              -              4e-21   75.5   0.7   4.9e-21   75.2   0.7   1.1   1   0   0   1   1   1   1 -
ML007333a-PA         -          COG0666              -            1.6e-20   73.6   5.2   7.5e-18   64.8   1.4   3.3   2   1   0   2   2   2   1 -
ML00065a-PA          -          COG0666              -            3.5e-20   72.4   0.8   1.4e-10   41.0   0.0   2.1   2   0   0   2   2   2   2 -
ML009810a-PA         -          COG0666              -              4e-20   72.2   0.0   1.1e-19   70.9   0.0   1.7   1   1   0   1   1   1   1 -
ML35385a-PA          -          COG0666              -              6e-20   71.7   0.0   9.2e-20   71.1   0.0   1.2   1   0   0   1   1   1   1 -
ML001514a-PA         -          COG0666              -            1.3e-19   70.5   0.0   1.5e-19   70.3   0.0   1.0   1   0   0   1   1   1   1 -
ML07535a-PA          -          COG0666              -            1.6e-19   70.3   0.0   1.3e-09   37.9   0.0   2.4   1   1   1   2   2   2   2 -
ML13117a-PA          -          COG0666              -            2.9e-19   69.4   1.6   2.7e-18   66.2   1.6   2.4   1   1   1   2   2   2   1 -
ML07536a-PA          -          COG0666              -            5.8e-19   68.4   0.6   3.6e-18   65.8   0.3   2.0   1   1   0   1   1   1   1 -
ML063914a-PA         -          COG0666              -            6.8e-19   68.2   0.0   5.2e-14   52.2   0.0   2.4   2   1   1   3   3   2   2 -
ML18471a-PA          -          COG0666              -            1.7e-18   66.9   1.2   2.3e-18   66.5   1.2   1.2   1   0   0   1   1   1   1 -
ML22693a-PA          -          COG0666              -            3.1e-17   62.8   0.3   3.4e-16   59.4   0.3   2.1   1   1   0   1   1   1   1 -
ML03247a-PA          -          COG0666              -            4.9e-17   62.1   6.0   1.2e-13   51.0   2.7   2.6   1   1   1   2   2   2   2 -
ML147313a-PA         -          COG0666              -            1.1e-16   61.0   0.2   1.9e-16   60.2   0.2   1.3   1   0   0   1   1   1   1 -
ML48641a-PA          -          COG0666              -            3.8e-16   59.2   0.0   5.1e-12   45.7   0.0   1.9   1   1   1   2   2   2   2 -
ML009613a-PA         -          COG0666              -              5e-16   58.8   0.0   1.2e-15   57.5   0.0   1.5   1   1   0   1   1   1   1 -
ML270538a-PA         -          COG0666              -            6.7e-16   58.4   0.3   1.4e-15   57.4   0.1   1.6   2   0   0   2   2   1   1 -
ML15044a-PA          -          COG0666              -            2.8e-15   56.4   0.0   4.5e-15   55.7   0.0   1.3   1   0   0   1   1   1   1 -
ML084417a-PA         -          COG0666              -            3.1e-15   56.2   0.2   5.2e-15   55.5   0.2   1.4   1   0   0   1   1   1   1 -
ML128426a-PA         -          COG0666              -            8.6e-15   54.8   0.2   7.8e-12   45.1   0.1   2.6   2   0   0   2   2   2   1 -
ML160322a-PA         -          COG0666              -            2.3e-14   53.4   0.1   5.4e-14   52.2   0.0   1.6   1   1   1   2   2   1   1 -
ML14547a-PA          -          COG0666              -            3.2e-14   52.9   0.2   5.9e-14   52.0   0.2   1.3   1   0   0   1   1   1   1 -
ML023015a-PA         -          COG0666              -            4.3e-14   52.5   0.0   7.8e-14   51.6   0.0   1.3   1   0   0   1   1   1   1 -
ML01578a-PA          -          COG0666              -            9.4e-14   51.4   0.0   1.5e-13   50.8   0.0   1.3   1   0   0   1   1   1   1 -
ML29629a-PA          -          COG0666              -            3.5e-13   49.5   0.0   7.3e-13   48.5   0.0   1.5   2   0   0   2   2   1   1 -
ML327437a-PA         -          COG0666              -              5e-13   49.0   0.0   5.8e-13   48.8   0.0   1.3   1   0   0   1   1   1   1 -
ML075218a-PA         -          COG0666              -            5.1e-13   49.0   0.2     1e-08   34.9   0.0   2.3   2   0   0   2   2   2   2 -
ML327422a-PA         -          COG0666              -            5.7e-13   48.8   0.0   9.6e-13   48.1   0.0   1.3   1   0   0   1   1   1   1 -
ML45006a-PA          -          COG0666              -            9.1e-13   48.2   0.2   1.6e-12   47.3   0.2   1.3   1   0   0   1   1   1   1 -
ML24431a-PA          -          COG0666              -            2.1e-12   47.0   0.4   5.3e-12   45.6   0.4   1.7   1   1   0   1   1   1   1 -
ML076021a-PA         -          COG0666              -            5.4e-12   45.6   0.0   5.8e-12   45.5   0.0   1.1   1   0   0   1   1   1   1 -
ML03893a-PA          -          COG0666              -            5.8e-12   45.5   0.0   1.2e-10   41.2   0.0   2.1   1   1   1   2   2   2   1 -
ML03787a-PA          -          COG0666              -            7.2e-12   45.2   0.3   2.6e-11   43.4   0.3   1.7   1   1   0   1   1   1   1 -
ML102217a-PA         -          COG0666              -            7.6e-12   45.1   0.0     8e-07   28.7   0.0   2.2   2   0   0   2   2   2   2 -
ML263512a-PA         -          COG0666              -            8.7e-12   44.9   0.0   3.9e-09   36.3   0.0   2.2   2   0   0   2   2   2   1 -
ML234550a-PA         -          COG0666              -            1.1e-11   44.6   0.0     2e-11   43.8   0.0   1.3   1   0   0   1   1   1   1 -
ML23955a-PA          -          COG0666              -            1.6e-11   44.1   0.1   4.6e-11   42.6   0.1   1.9   1   1   0   1   1   1   1 -
ML090118a-PA         -          COG0666              -            5.5e-11   42.3   0.0   9.7e-11   41.5   0.0   1.4   1   0   0   1   1   1   1 -
ML09751a-PA          -          COG0666              -            7.8e-11   41.8   0.1   3.3e-09   36.5   0.0   2.2   2   0   0   2   2   2   1 -
ML00231a-PA          -          COG0666              -            1.4e-10   41.0   0.0     2e-10   40.5   0.0   1.2   1   0   0   1   1   1   1 -
ML13115a-PA          -          COG0666              -            1.7e-10   40.7   0.1   3.8e-10   39.6   0.1   1.6   1   0   0   1   1   1   1 -
ML00368a-PA          -          COG0666              -            2.2e-10   40.4   0.1   5.5e-08   32.5   0.1   2.3   1   1   1   2   2   2   2 -
ML18171a-PA          -          COG0666              -            4.7e-10   39.3   0.1   8.8e-10   38.4   0.1   1.4   1   1   0   1   1   1   1 -
ML090215a-PA         -          COG0666              -            5.9e-10   39.0   0.1   1.9e-09   37.3   0.0   1.8   2   0   0   2   2   1   1 -
ML076032a-PA         -          COG0666              -            8.1e-10   38.5   0.0   1.2e-09   38.0   0.0   1.2   1   0   0   1   1   1   1 -
ML102216a-PA         -          COG0666              -            1.4e-09   37.7   0.1   5.2e-09   35.8   0.0   1.8   2   0   0   2   2   1   1 -
ML06838a-PA          -          COG0666              -            1.5e-09   37.7   0.0   2.2e-09   37.1   0.0   1.2   1   0   0   1   1   1   1 -
ML33989a-PA          -          COG0666              -            1.5e-09   37.6   0.0   1.8e-09   37.3   0.0   1.3   1   0   0   1   1   1   1 -
ML294911a-PA         -          COG0666              -            2.4e-09   36.9   0.0   4.2e-09   36.2   0.0   1.4   1   0   0   1   1   1   1 -
ML03701a-PA          -          COG0666              -            2.9e-09   36.7   0.0     5e-09   35.9   0.0   1.3   1   0   0   1   1   1   1 -
ML00672a-PA          -          COG0666              -            4.1e-09   36.2   0.0   1.4e-08   34.5   0.0   1.8   2   0   0   2   2   1   1 -
ML11503a-PA          -          COG0666              -            8.9e-09   35.1   0.0   1.6e-08   34.3   0.0   1.5   1   0   0   1   1   1   1 -
ML032311a-PA         -          COG0666              -            9.8e-09   34.9   0.0     2e-08   34.0   0.0   1.4   1   0   0   1   1   1   1 -
ML07093a-PA          -          COG0666              -            1.4e-08   34.4   0.0   1.9e-08   34.0   0.0   1.3   1   0   0   1   1   1   1 -
ML07845a-PA          -          COG0666              -            2.4e-08   33.7   0.0     4e-08   33.0   0.0   1.3   1   0   0   1   1   1   1 -
ML294910a-PA         -          COG0666              -            2.8e-08   33.5   0.0   5.2e-08   32.6   0.0   1.4   1   0   0   1   1   1   1 -
ML14989a-PA          -          COG0666              -            2.8e-08   33.4   0.0   4.9e-08   32.7   0.0   1.3   1   0   0   1   1   1   1 -
ML136021a-PA         -          COG0666              -            4.1e-08   32.9   0.1   9.5e-08   31.7   0.1   1.5   1   0   0   1   1   1   1 -
ML225219a-PA         -          COG0666              -            4.2e-08   32.9   0.0   5.9e-08   32.4   0.0   1.2   1   0   0   1   1   1   1 -
ML07638a-PA          -          COG0666              -            6.9e-08   32.2   1.0   1.2e-07   31.4   1.0   1.4   1   0   0   1   1   1   1 -
ML21313a-PA          -          COG0666              -            7.4e-08   32.1   0.0   1.2e-07   31.4   0.0   1.3   1   0   0   1   1   1   1 -
ML050915a-PA         -          COG0666              -            1.3e-07   31.3   0.0   2.4e-07   30.4   0.0   1.4   1   0   0   1   1   1   1 -
ML07534a-PA          -          COG0666              -            1.5e-07   31.0   0.0   1.9e-05   24.2   0.0   2.4   1   1   0   2   2   2   1 -
ML141738a-PA         -          COG0666              -            3.8e-07   29.8   0.0   6.4e-07   29.0   0.0   1.3   1   0   0   1   1   1   1 -
ML039720a-PA         -          COG0666              -            7.7e-07   28.7   0.0   1.2e-06   28.2   0.0   1.2   1   0   0   1   1   1   1 -
ML15459a-PA          -          COG0666              -            1.1e-06   28.2   0.0   1.8e-06   27.5   0.0   1.2   1   0   0   1   1   1   1 -
ML04284a-PA          -          COG0666              -            1.3e-06   28.0   0.3     3e-06   26.8   0.3   1.6   1   0   0   1   1   1   1 -
ML05929a-PA          -          COG0666              -            1.6e-06   27.7   0.0   2.8e-06   26.9   0.0   1.4   1   0   0   1   1   1   1 -
ML03786a-PA          -          COG0666              -            2.1e-06   27.3   0.3   2.9e-06   26.9   0.3   1.1   1   0   0   1   1   1   1 -
ML225221a-PA         -          COG0666              -            2.2e-06   27.2   0.0   3.8e-06   26.5   0.0   1.3   1   0   0   1   1   1   1 -
ML327438a-PA         -          COG0666              -            3.1e-06   26.8   0.1   6.4e-06   25.7   0.1   1.4   1   1   0   1   1   1   1 -
ML01576a-PA          -          COG0666              -            3.8e-06   26.5   0.0   2.3e-05   23.9   0.0   1.8   1   1   0   1   1   1   1 -
ML263511a-PA         -          COG0666              -            9.6e-06   25.2   0.0    0.0075   15.7   0.0   2.2   2   0   0   2   2   2   1 -
ML030925a-PA         -          COG0666              -            9.9e-06   25.1   0.0   1.6e-05   24.5   0.0   1.3   1   0   0   1   1   1   1 -
ML08525a-PA          -          COG0666              -            1.2e-05   24.8   0.0   2.5e-05   23.8   0.0   1.4   1   0   0   1   1   1   1 -
ML003611a-PA         -          COG0666              -            3.1e-05   23.5   0.0   3.8e-05   23.2   0.0   1.2   1   0   0   1   1   1   1 -
ML10803a-PA          -          COG0666              -            5.4e-05   22.7   0.0   0.00013   21.4   0.0   1.6   1   0   0   1   1   1   1 -
ML07844a-PA          -          COG0666              -            6.4e-05   22.5   0.0   0.00011   21.7   0.0   1.3   1   0   0   1   1   1   1 -
ML181719a-PA         -          COG0666              -            9.1e-05   22.0   0.1   0.00018   21.0   0.1   1.5   1   0   0   1   1   1   1 -
ML10909a-PA          -          COG0666              -             0.0005   19.5   0.0   0.00079   18.9   0.0   1.3   1   0   0   1   1   1   1 -
ML01742a-PA          -          COG0666              -            0.00055   19.4   0.3   0.00096   18.6   0.3   1.3   1   0   0   1   1   1   1 -
ML15198a-PA          -          COG0666              -            0.00092   18.7   0.0    0.0017   17.8   0.0   1.4   1   0   0   1   1   1   1 -
ML019121a-PA         -          COG0666              -             0.0012   18.2   0.1    0.0023   17.3   0.1   1.4   1   0   0   1   1   1   1 -
ML08489a-PA          -          COG0666              -             0.0015   17.9   0.0    0.0021   17.5   0.0   1.1   1   0   0   1   1   1   1 -
ML45845a-PA          -          COG0666              -             0.0017   17.8   0.1     0.071   12.5   0.0   2.1   1   1   0   2   2   2   1 -
ML03522a-PA          -          COG0666              -             0.0035   16.8   0.0      0.52    9.6   0.0   2.2   2   0   0   2   2   2   1 -
ML26352a-PA          -          COG0666              -             0.0035   16.8   0.0    0.0071   15.8   0.0   1.6   1   1   0   1   1   1   1 -
ML26625a-PA          -          COG0666              -              0.006   16.0   0.0     0.012   15.1   0.0   1.5   1   0   0   1   1   1   1 -
ML032416a-PA         -          COG0666              -             0.0072   15.7   0.0     0.051   13.0   0.0   2.1   2   0   0   2   2   2   1 -
ML08543a-PA          -          COG0666              -             0.0073   15.7   0.0     0.013   14.9   0.0   1.3   1   0   0   1   1   1   1 -
ML014415a-PA         -          COG0666              -             0.0079   15.6   0.0    0.0096   15.3   0.0   1.2   1   0   0   1   1   1   1 -
ML02762a-PA          -          COG0666              -             0.0079   15.6   0.0     0.036   13.5   0.0   2.1   2   1   0   2   2   1   1 -
ML104631a-PA         -          COG0666              -             0.0097   15.3   0.0     0.016   14.6   0.0   1.2   1   0   0   1   1   1   1 -
ML07846a-PA          -          COG0666              -              0.019   14.4   0.0     0.032   13.6   0.0   1.3   1   0   0   1   1   1   0 -
ML22973a-PA          -          COG0666              -              0.021   14.2   0.0     0.054   12.9   0.0   1.4   1   1   0   1   1   1   0 -
ML019118a-PA         -          COG0666              -              0.026   13.9   0.0     0.039   13.4   0.0   1.4   1   0   0   1   1   1   0 -
ML26623a-PA          -          COG0666              -               0.03   13.7   0.0     0.053   12.9   0.0   1.3   1   0   0   1   1   1   0 -
ML061519a-PA         -          COG0666              -              0.031   13.7   0.1      0.06   12.7   0.1   1.4   1   0   0   1   1   1   0 -
ML040414a-PA         -          COG0666              -              0.058   12.8   0.0      0.11   11.9   0.0   1.4   1   0   0   1   1   1   0 -
ML150421a-PA         -          COG0666              -               0.18   11.2   0.0       0.3   10.4   0.0   1.2   1   0   0   1   1   1   0 -
ML033210a-PA         -          COG0666              -               0.21   11.0   0.1      0.41   10.0   0.1   1.5   1   0   0   1   1   1   0 -
ML219312a-PA         -          COG0666              -               0.21   10.9   0.0      0.34   10.3   0.0   1.2   1   0   0   1   1   1   0 -
ML00085a-PA          -          COG0666              -               0.27   10.6   0.0      0.47    9.8   0.0   1.3   1   0   0   1   1   1   0 -
ML13141a-PA          -          COG0666              -                0.6    9.5   0.0       5.4    6.3   0.0   2.2   2   0   0   2   2   2   0 -
ML075216a-PA         -          COG0666              -               0.61    9.4   0.0       2.2    7.6   0.0   1.8   1   1   0   1   1   1   0 -
ML05982a-PA          -          COG0666              -               0.95    8.8   0.4         1    8.7   0.4   1.0   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG003.strict.hmm
# Target file:     Mnemiopsis_leidyi.MneLei_Aug2011.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref003.Mnemiopsis_leidyi.MneLei_Aug2011.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG003.strict.hmm Mnemiopsis_leidyi.MneLei_Aug2011.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 18:12:25 2020
# [ok]
