#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
BL08181_evm0         -          KOG0619              -           2.4e-206  682.5 122.1   3.1e-27   96.3   3.9  13.0   2   1  13  15  15  14  14 -
BL22474_cuf1         -          KOG0619              -            1.9e-63  214.8  47.7   4.8e-11   43.4   0.1  10.1   5   3   4  10  10  10   9 -
BL18514_evm5         -          KOG0619              -            1.2e-61  208.9   4.2   1.5e-61  208.7   4.2   1.0   1   0   0   1   1   1   1 -
BL80745_cuf0         -          KOG0619              -            8.3e-60  202.9  23.3   5.4e-35  121.7   7.9   4.1   3   1   1   4   4   4   4 -
BL26586_evm0         -          KOG0619              -            1.5e-59  202.1  22.9   2.3e-26   93.5   0.6   4.4   1   1   3   4   4   4   4 -
BL11156_evm0         -          KOG0619              -            5.4e-58  197.0  22.8   6.9e-27   95.2   2.8   4.4   2   1   2   4   4   3   3 -
BL12472_evm1         -          KOG0619              -            2.1e-57  195.1  21.5   1.6e-23   84.2   3.2   3.6   1   1   2   3   3   3   3 -
BL18168_evm0         -          KOG0619              -            3.7e-56  191.0  15.5   1.3e-20   74.6   2.2   4.1   2   1   2   4   4   4   4 -
BL01199_evm0         -          KOG0619              -            3.8e-55  187.7  16.7   4.5e-20   72.9   0.4   4.3   2   1   2   4   4   3   3 -
BL04096_evm0         -          KOG0619              -            4.6e-54  184.2  43.8     3e-15   57.1   7.0   3.7   1   1   4   5   5   5   5 -
BL06924_evm0         -          KOG0619              -              2e-53  182.1  26.7   1.1e-15   58.5   0.3   6.2   2   2   4   6   6   6   6 -
BL11347_cuf19        -          KOG0619              -            1.6e-49  169.3  31.2   1.3e-17   64.8   1.4   4.1   1   1   3   4   4   4   4 -
BL32974_cuf0         -          KOG0619              -              1e-45  156.8  24.7   2.5e-16   60.6   1.9   5.6   1   1   5   6   6   6   6 -
BL19181_evm0         -          KOG0619              -            1.6e-45  156.2  20.3   4.7e-16   59.8   6.1   4.4   2   2   2   4   4   4   4 -
BL21136_evm0         -          KOG0619              -            1.5e-43  149.7   6.1   1.5e-18   67.9   0.9   3.6   3   1   1   4   4   3   3 -
BL07807_cuf3         -          KOG0619              -            6.8e-43  147.6   8.8   1.7e-28  100.5   3.8   2.0   1   1   1   2   2   2   2 -
BL37783_cuf0         -          KOG0619              -            1.4e-42  146.5  24.7   6.7e-13   49.4   5.0   3.6   1   1   3   4   4   4   4 -
BL22012_cuf1         -          KOG0619              -            3.7e-42  145.2  12.1     4e-25   89.4   1.2   2.1   1   1   1   2   2   2   2 -
BL21781_evm5         -          KOG0619              -            8.5e-42  144.0  16.8     3e-23   83.3   5.9   2.4   1   1   1   2   2   2   2 -
BL16033_cuf1         -          KOG0619              -              3e-41  142.2  17.5   6.4e-18   65.9   6.7   3.6   1   1   2   3   3   3   3 -
BL00332_cuf3         -          KOG0619              -            4.8e-41  141.6  12.6   6.5e-25   88.8   1.7   2.1   1   1   1   2   2   2   2 -
BL24830_evm2         -          KOG0619              -            1.1e-40  140.4  47.7   9.2e-15   55.5   1.1   5.0   1   1   4   5   5   5   5 -
BL23253_evm0         -          KOG0619              -            1.1e-40  140.4  18.4   3.8e-19   69.9   4.4   3.4   1   1   2   3   3   3   3 -
BL20028_evm0         -          KOG0619              -            2.2e-40  139.4  30.0   3.2e-19   70.1   2.2   8.0   3   3   4   7   7   7   6 -
BL22974_cuf2         -          KOG0619              -            2.5e-40  139.2  13.3   4.3e-22   79.5   2.5   2.6   1   1   1   2   2   2   2 -
BL06162_cuf0         -          KOG0619              -            3.1e-40  138.9  28.2     9e-19   68.7   2.3   4.3   1   1   3   4   4   4   4 -
BL18568_cuf1         -          KOG0619              -            6.9e-40  137.8  23.3   1.2e-17   65.0   4.3   3.3   1   1   2   3   3   3   3 -
BL07561_cuf0         -          KOG0619              -            7.3e-40  137.7  18.5   2.1e-18   67.4   4.7   3.3   1   1   2   3   3   3   3 -
BL22544_evm0         -          KOG0619              -            2.3e-39  136.1  10.3   1.6e-25   90.8   5.2   2.8   1   1   1   2   2   2   2 -
BL25989_evm0         -          KOG0619              -            2.7e-38  132.6  19.8   2.2e-25   90.3   5.9   2.3   1   1   1   2   2   2   2 -
BL18997_cuf8         -          KOG0619              -            3.7e-38  132.1  11.5   4.3e-11   43.5   0.8   4.1   1   1   3   4   4   4   4 -
BL96434_cuf0         -          KOG0619              -            5.4e-38  131.6  12.4   1.3e-10   41.9   2.0   5.2   1   1   4   5   5   5   5 -
BL72403_cuf1         -          KOG0619              -            1.6e-37  130.0  30.6   3.3e-10   40.7   1.2   6.2   2   1   5   7   7   7   5 -
BL40306_cuf3         -          KOG0619              -            4.3e-37  128.6  13.3   1.9e-09   38.2   0.8   4.8   1   1   4   5   5   5   5 -
BL65638_cuf0         -          KOG0619              -            5.5e-37  128.3   0.2   9.1e-16   58.8   0.0   3.6   1   1   1   3   3   3   3 -
BL13347_evm0         -          KOG0619              -            5.6e-37  128.2  20.5   1.5e-09   38.5   0.0   4.2   1   1   3   4   4   4   4 -
BL28751_evm0         -          KOG0619              -            6.1e-37  128.1  23.8   1.4e-11   45.1   2.5   6.3   1   1   6   7   7   7   6 -
BL16977_evm0         -          KOG0619              -            1.7e-36  126.7  17.5   1.6e-14   54.7   3.1   4.3   1   1   3   4   4   4   3 -
BL64493_cuf0         -          KOG0619              -            6.3e-36  124.8  16.1   5.9e-14   52.9   4.3   3.0   1   1   2   3   3   3   3 -
BL67763_cuf0         -          KOG0619              -            5.8e-35  121.6  10.7   8.8e-19   68.7   3.2   2.6   1   1   1   2   2   2   2 -
BL01018_evm6         -          KOG0619              -            6.8e-35  121.4  16.6   4.7e-21   76.1   6.8   2.0   1   1   1   2   2   2   2 -
BL04165_evm3         -          KOG0619              -            8.6e-35  121.1  34.6   1.8e-10   41.5  11.0   5.4   1   1   4   5   5   5   5 -
BL75066_cuf0         -          KOG0619              -            1.3e-34  120.5  24.3   2.7e-09   37.6   0.6   5.7   1   1   5   6   6   6   6 -
BL67482_cuf0         -          KOG0619              -            1.4e-34  120.4  20.0   7.9e-16   59.0   2.7   4.1   1   1   2   3   3   3   3 -
BL21118_evm5         -          KOG0619              -            1.7e-34  120.1  15.3     3e-21   76.8   5.4   2.3   1   1   1   2   2   2   2 -
BL18459_evm0         -          KOG0619              -            1.8e-34  120.0  31.4   8.9e-10   39.2   3.4   5.2   3   1   2   5   5   4   4 -
BL76466_cuf0         -          KOG0619              -            3.7e-34  119.0  26.5   1.3e-13   51.8   3.9   5.2   1   1   3   5   5   5   5 -
BL17798_evm2         -          KOG0619              -            1.5e-33  117.1  18.3   2.3e-10   41.2   0.3   4.2   1   1   3   4   4   4   4 -
BL55978_cuf0         -          KOG0619              -            6.4e-33  114.9  29.3   1.2e-13   51.9   9.3   4.5   1   1   4   5   5   5   5 -
BL53590_cuf1         -          KOG0619              -            6.5e-33  114.9  25.6   3.1e-18   66.9  12.5   3.5   1   1   1   3   3   3   3 -
BL23576_evm31        -          KOG0619              -            1.4e-32  113.8  12.1   5.2e-18   66.2   4.3   2.2   1   1   1   2   2   2   2 -
BL01235_evm0         -          KOG0619              -            1.7e-32  113.6   3.6   4.7e-13   49.9   0.0   3.1   1   1   2   3   3   3   3 -
BL20330_evm2         -          KOG0619              -            2.4e-32  113.1  16.8   7.6e-15   55.8   1.3   5.1   1   1   1   5   5   4   4 -
BL70120_cuf0         -          KOG0619              -            3.5e-32  112.5  33.1   2.2e-13   51.0   3.2   4.2   1   1   4   5   5   5   5 -
BL95671_evm2         -          KOG0619              -            4.3e-32  112.3  16.3   6.1e-12   46.3   0.5   4.6   1   1   3   4   4   4   4 -
BL05269_cuf1         -          KOG0619              -            9.2e-32  111.2   9.6   8.9e-15   55.6   3.1   5.0   1   1   4   5   5   5   4 -
BL28936_evm0         -          KOG0619              -            1.2e-31  110.8   2.2   2.8e-17   63.8   0.3   2.2   1   1   1   2   2   2   2 -
BL16614_evm0         -          KOG0619              -            1.3e-31  110.7  47.4   5.8e-09   36.5   2.4   5.7   5   1   1   6   6   5   5 -
BL44424_cuf1         -          KOG0619              -            1.5e-31  110.4  30.6   2.2e-14   54.3   6.2   4.9   1   1   3   4   4   4   4 -
BL67488_cuf1         -          KOG0619              -            2.2e-31  109.9  10.8   2.4e-12   47.6   2.3   3.7   1   1   2   3   3   3   3 -
BL12652_cuf2         -          KOG0619              -            3.2e-31  109.4  20.0   9.4e-11   42.4   0.4   5.8   3   2   2   6   6   5   4 -
BL53354_cuf1         -          KOG0619              -            4.1e-31  109.0  18.0   2.2e-13   51.0   2.5   3.2   1   1   2   3   3   3   3 -
BL18501_cuf2         -          KOG0619              -            5.1e-31  108.7  16.3   2.4e-09   37.8   0.9   4.2   1   1   4   5   5   5   5 -
BL59222_cuf0         -          KOG0619              -            6.6e-31  108.4  10.9   6.7e-17   62.5   2.3   3.2   1   1   2   3   3   3   3 -
BL53330_cuf0         -          KOG0619              -            9.5e-31  107.9   3.6   2.5e-12   47.6   0.0   3.0   1   1   2   3   3   3   3 -
BL62420_cuf0         -          KOG0619              -            1.8e-30  107.0  13.2   8.9e-13   49.0   0.8   4.0   1   1   3   4   4   4   3 -
BL17405_evm0         -          KOG0619              -            6.5e-30  105.1  20.5   3.1e-13   50.5   4.2   3.6   3   1   0   3   3   3   3 -
BL16233_evm0         -          KOG0619              -            2.5e-29  103.2  13.4   4.5e-15   56.6   4.9   3.1   1   1   2   3   3   3   3 -
BL67481_cuf8         -          KOG0619              -              5e-29  102.2  19.8     2e-11   44.6   1.9   3.3   1   1   2   3   3   3   3 -
BL06506_cuf0         -          KOG0619              -            6.6e-29  101.8  14.8   2.4e-08   34.5   0.4   4.7   1   1   4   5   5   5   5 -
BL00691_cuf0         -          KOG0619              -              8e-29  101.5   2.8   1.3e-15   58.4   0.4   3.0   1   1   2   3   3   3   3 -
BL43220_cuf1         -          KOG0619              -            8.3e-29  101.5  11.1   2.7e-11   44.2   2.3   3.1   1   1   2   3   3   3   3 -
BL73061_cuf2         -          KOG0619              -            1.2e-28  101.0  21.1   1.5e-15   58.1   8.0   3.3   1   1   2   3   3   3   3 -
BL30781_evm0         -          KOG0619              -            1.6e-28  100.6   1.1   1.1e-15   58.5   0.1   2.3   1   1   1   2   2   2   2 -
BL56073_cuf1         -          KOG0619              -            2.4e-28  100.0  10.0   1.1e-15   58.6   4.4   2.2   2   0   0   2   2   2   2 -
BL74889_cuf1         -          KOG0619              -            4.1e-28   99.2   5.8   2.2e-17   64.1   3.7   2.2   1   1   1   2   2   2   2 -
BL75684_cuf7         -          KOG0619              -            4.8e-28   99.0  10.3   1.8e-16   61.1   3.6   2.2   1   1   1   2   2   2   2 -
BL16723_cuf1         -          KOG0619              -            7.1e-28   98.4  10.4   1.1e-14   55.3   0.7   3.1   1   1   2   3   3   3   3 -
BL11655_evm0         -          KOG0619              -            9.3e-28   98.1   5.0   1.5e-14   54.8   2.3   2.2   1   1   1   2   2   2   2 -
BL08616_cuf2         -          KOG0619              -            1.2e-27   97.7   4.8   1.4e-14   55.0   0.6   2.4   1   1   1   2   2   2   2 -
BL09440_evm0         -          KOG0619              -            1.3e-27   97.6  16.6   2.5e-10   41.0   3.2   4.5   2   1   3   5   5   5   3 -
BL20780_evm4         -          KOG0619              -            3.2e-27   96.3  11.7   5.9e-12   46.3   0.2   4.1   2   1   2   4   4   3   3 -
BL76531_cuf1         -          KOG0619              -            3.2e-27   96.3  17.6   3.5e-11   43.8   1.5   3.3   1   1   2   3   3   3   3 -
BL28810_evm0         -          KOG0619              -            3.7e-27   96.1  11.6   4.2e-10   40.3   0.7   3.1   1   1   2   3   3   3   3 -
BL79327_cuf0         -          KOG0619              -            7.7e-27   95.1  26.6   1.3e-12   48.5   7.0   3.7   1   1   2   3   3   3   3 -
BL40299_cuf0         -          KOG0619              -            9.4e-27   94.8  20.3   5.5e-09   36.6   0.9   4.3   1   1   3   4   4   4   4 -
BL53321_cuf1         -          KOG0619              -            1.3e-26   94.3  28.7   1.1e-10   42.2   1.8   3.9   2   1   1   4   4   4   4 -
BL96803_cuf1         -          KOG0619              -            1.7e-26   93.9  15.1   5.8e-13   49.6   6.0   3.7   1   1   2   3   3   3   3 -
BL18874_cuf0         -          KOG0619              -            2.2e-26   93.6  22.2     4e-10   40.4   1.1   3.2   1   1   3   4   4   4   4 -
BL16082_cuf3         -          KOG0619              -            6.8e-26   92.0   7.0   7.3e-16   59.1   0.6   2.8   1   1   2   3   3   3   2 -
BL29909_evm0         -          KOG0619              -            7.1e-26   91.9   0.1   9.1e-26   91.5   0.1   1.0   1   0   0   1   1   1   1 -
BL29699_evm0         -          KOG0619              -            8.9e-26   91.6   7.5   1.3e-11   45.2   0.5   3.2   1   1   2   3   3   3   3 -
BL05438_cuf1         -          KOG0619              -              6e-25   88.9  12.9   2.2e-12   47.8   1.5   4.7   2   1   1   4   4   4   4 -
BL46580_cuf1         -          KOG0619              -            7.9e-25   88.5  39.2   6.7e-12   46.2   8.2   3.5   1   1   2   3   3   3   3 -
BL72118_cuf0         -          KOG0619              -              9e-25   88.3  11.0   1.1e-15   58.5   6.5   2.0   1   1   1   2   2   2   2 -
BL45496_cuf0         -          KOG0619              -              9e-25   88.3   6.4   5.1e-09   36.7   0.8   3.1   1   1   2   3   3   3   3 -
BL06368_cuf2         -          KOG0619              -            1.1e-24   88.0  12.8   1.4e-13   51.6   2.0   2.9   1   1   2   3   3   3   3 -
BL12112_cuf0         -          KOG0619              -            2.5e-24   86.8   0.1   2.2e-17   64.1   0.0   2.1   1   1   1   2   2   2   2 -
BL08090_evm1         -          KOG0619              -            2.7e-24   86.7  11.6   4.3e-14   53.4   3.5   2.1   1   1   1   2   2   2   2 -
BL07589_evm0         -          KOG0619              -            3.7e-24   86.3   7.2   6.8e-13   49.4   0.3   3.3   1   1   1   3   3   3   3 -
BL07107_evm1         -          KOG0619              -            6.2e-24   85.6   5.3   5.6e-14   53.0   0.3   3.0   1   1   2   3   3   2   2 -
BL58432_cuf0         -          KOG0619              -            7.2e-24   85.3  18.1   2.6e-13   50.8   6.2   2.9   1   1   2   3   3   3   2 -
BL21660_evm0         -          KOG0619              -            1.8e-23   84.1  19.9   8.7e-09   36.0   0.8   3.2   1   1   2   3   3   3   3 -
BL67478_cuf0         -          KOG0619              -            2.5e-23   83.6  15.6   5.1e-09   36.7   0.9   2.5   1   1   2   3   3   3   3 -
BL01984_evm0         -          KOG0619              -            3.1e-23   83.3  31.1   4.5e-09   36.9   0.9   3.3   1   1   3   4   4   4   4 -
BL03722_evm0         -          KOG0619              -            3.1e-23   83.3   9.6   1.9e-13   51.2   1.5   2.7   1   1   1   2   2   2   2 -
BL45146_cuf3         -          KOG0619              -            3.7e-23   83.0   5.7   1.6e-10   41.7   0.1   2.9   1   1   2   3   3   3   3 -
BL11206_evm0         -          KOG0619              -            4.1e-23   82.9  25.8     3e-12   47.3   6.6   3.3   1   1   2   3   3   3   3 -
BL50971_cuf0         -          KOG0619              -            1.4e-22   81.2  11.7   1.2e-16   61.7   6.3   2.8   1   1   1   2   2   2   2 -
BL21386_cuf0         -          KOG0619              -            1.8e-22   80.7   9.8     7e-13   49.4   1.8   2.1   1   1   1   2   2   2   2 -
BL14945_cuf6         -          KOG0619              -              3e-22   80.0  10.7     2e-08   34.8   0.8   3.6   1   1   2   3   3   3   3 -
BL24343_evm0         -          KOG0619              -            3.1e-22   80.0  27.0   4.9e-07   30.2   5.0   6.0   2   2   3   6   6   6   4 -
BL16350_cuf1         -          KOG0619              -            3.3e-22   79.9  33.7   5.4e-11   43.2   9.3   3.5   1   1   2   3   3   3   3 -
BL74727_cuf0         -          KOG0619              -            3.5e-22   79.8  19.3   1.1e-11   45.4   1.9   3.4   1   1   3   4   4   3   3 -
BL73895_cuf0         -          KOG0619              -            4.9e-22   79.3  14.5   8.7e-14   52.4   3.3   2.1   1   1   1   2   2   2   2 -
BL13675_evm1         -          KOG0619              -            8.1e-22   78.6  11.6   6.6e-08   33.1   0.2   3.6   1   1   3   4   4   4   3 -
BL23037_evm0         -          KOG0619              -            1.3e-21   78.0   4.7   6.3e-11   43.0   0.5   3.0   1   1   2   3   3   3   3 -
BL46444_cuf1         -          KOG0619              -            1.7e-21   77.6  23.5   5.9e-07   30.0   6.7   4.5   1   1   4   5   5   4   4 -
BL02080_cuf3         -          KOG0619              -              2e-21   77.3  10.5   1.4e-06   28.8   3.0   3.2   2   1   1   3   3   3   3 -
BL06722_cuf0         -          KOG0619              -            2.6e-21   77.0   6.2   5.8e-12   46.4   0.6   2.9   1   1   1   2   2   2   2 -
BL14119_evm0         -          KOG0619              -            3.6e-21   76.5  13.8     2e-08   34.8   8.4   3.1   1   1   2   3   3   3   3 -
BL06758_evm0         -          KOG0619              -            4.5e-21   76.2  11.6   1.1e-11   45.5   2.6   2.8   1   1   1   2   2   2   2 -
BL34298_cuf0         -          KOG0619              -            8.6e-21   75.3  12.0   1.8e-16   61.1   3.6   3.1   1   1   2   3   3   3   1 -
BL18084_evm0         -          KOG0619              -            1.6e-20   74.4   7.6   2.5e-09   37.8   0.2   2.9   1   1   2   3   3   3   3 -
BL22682_evm0         -          KOG0619              -              3e-20   73.5   1.8   6.2e-19   69.2   1.2   2.9   2   2   1   3   3   2   1 -
BL36275_cuf0         -          KOG0619              -            3.9e-20   73.1   2.7   3.1e-12   47.3   0.5   2.5   1   1   1   2   2   2   2 -
BL10378_evm0         -          KOG0619              -            6.8e-20   72.3   1.5   1.5e-09   38.5   0.2   2.8   1   1   2   3   3   3   3 -
BL07789_evm0         -          KOG0619              -            7.8e-20   72.1  13.1   2.9e-16   60.4   6.1   2.6   1   1   1   2   2   2   2 -
BL08883_cuf17        -          KOG0619              -            8.8e-20   72.0   2.7   2.7e-14   54.0   0.1   2.0   1   1   1   2   2   2   2 -
BL96435_cuf5         -          KOG0619              -              1e-19   71.8   2.3   5.1e-10   40.0   0.0   3.3   1   1   2   3   3   3   3 -
BL08121_evm3         -          KOG0619              -            1.2e-19   71.5  10.0   6.7e-15   56.0   7.4   2.0   1   1   0   1   1   1   1 -
BL21749_evm0         -          KOG0619              -            1.3e-19   71.4   0.6   1.8e-12   48.1   0.1   2.2   1   1   1   2   2   2   2 -
BL29543_evm0         -          KOG0619              -            2.4e-19   70.5  19.6   5.7e-09   36.6   5.0   3.9   1   1   3   4   4   4   4 -
BL47307_cuf0         -          KOG0619              -            3.3e-19   70.1   2.1   5.4e-19   69.4   2.1   1.4   1   1   0   1   1   1   1 -
BL07138_cuf0         -          KOG0619              -            3.9e-19   69.9   0.5   2.3e-11   44.4   0.1   2.3   1   1   1   2   2   2   2 -
BL17904_cuf1         -          KOG0619              -              7e-19   69.0   0.6   3.5e-11   43.8   0.1   2.3   1   1   1   2   2   2   2 -
BL40303_cuf0         -          KOG0619              -            7.6e-19   68.9   5.7   2.2e-11   44.5   3.1   2.8   1   1   1   2   2   2   2 -
BL13354_cuf3         -          KOG0619              -            8.8e-19   68.7   0.3   4.9e-08   33.5   0.0   2.9   1   1   2   3   3   3   3 -
BL05542_evm2         -          KOG0619              -            1.9e-18   67.6  24.9   3.9e-12   47.0   9.8   2.2   1   1   1   2   2   2   2 -
BL17309_cuf1         -          KOG0619              -            2.1e-18   67.5   0.5   1.8e-08   34.9   1.8   2.3   1   1   1   2   2   2   2 -
BL95409_evm0         -          KOG0619              -            2.1e-18   67.4   4.6   1.5e-11   45.0   0.4   2.4   1   1   1   2   2   2   2 -
BL31754_evm0         -          KOG0619              -            4.9e-18   66.2   0.6   2.6e-10   40.9   0.1   2.1   2   0   0   2   2   2   2 -
BL84514_cuf0         -          KOG0619              -            6.7e-18   65.8   6.8   9.9e-10   39.1   0.4   2.1   2   1   1   3   3   2   2 -
BL91238_cuf1         -          KOG0619              -            7.6e-18   65.6   6.7     2e-07   31.5   0.0   5.2   3   2   1   5   5   5   3 -
BL19073_cuf5         -          KOG0619              -            7.9e-18   65.6  24.8     0.012   15.8   0.2   7.8   7   0   0   7   7   7   4 -
BL13181_cuf1         -          KOG0619              -            1.2e-17   64.9   7.6   1.3e-11   45.2   0.3   3.1   2   1   1   3   3   2   2 -
BL17671_cuf0         -          KOG0619              -            1.4e-17   64.8   7.0     8e-11   42.6   1.0   3.2   2   1   1   3   3   2   2 -
BL24590_cuf1         -          KOG0619              -            1.4e-17   64.8   1.8   1.7e-17   64.5   1.8   1.1   1   0   0   1   1   1   1 -
BL76562_cuf0         -          KOG0619              -            1.7e-17   64.5  14.0     3e-06   27.7   2.5   3.2   1   1   2   3   3   3   3 -
BL50222_cuf1         -          KOG0619              -            1.8e-17   64.4   4.6   1.4e-16   61.5   4.0   2.1   1   1   1   2   2   2   1 -
BL30396_evm0         -          KOG0619              -            1.9e-17   64.3   0.8   1.7e-10   41.5   0.0   2.2   1   1   1   2   2   2   2 -
BL67549_cuf0         -          KOG0619              -            2.3e-17   64.0   1.8   2.2e-08   34.7   0.5   2.1   1   1   1   2   2   2   2 -
BL80756_cuf0         -          KOG0619              -            4.1e-17   63.2   1.4   5.8e-10   39.8   0.3   2.2   2   0   0   2   2   2   2 -
BL33766_cuf3         -          KOG0619              -            4.5e-17   63.1   5.6   6.3e-09   36.4   0.4   2.7   1   1   1   2   2   2   2 -
BL12089_evm3         -          KOG0619              -            4.5e-17   63.1  11.3   3.5e-08   34.0   1.5   2.3   1   1   0   2   2   2   2 -
BL75067_cuf5         -          KOG0619              -            5.1e-17   62.9  12.7   1.1e-10   42.2   5.0   2.1   1   1   1   2   2   2   2 -
BL01257_cuf6         -          KOG0619              -            5.4e-17   62.8   2.1   1.8e-15   57.9   2.7   2.0   1   1   1   2   2   2   2 -
BL56574_cuf0         -          KOG0619              -            5.9e-17   62.7   2.5   8.2e-09   36.1   0.3   1.8   1   1   0   1   1   1   1 -
BL16781_evm0         -          KOG0619              -            8.1e-17   62.3   0.5   6.5e-06   26.6   0.0   3.1   1   1   2   3   3   3   2 -
BL10810_cuf19        -          KOG0619              -              1e-16   61.9   1.8     2e-16   61.0   1.8   1.4   1   0   0   1   1   1   1 -
BL07305_evm0         -          KOG0619              -            1.8e-16   61.1   5.1   1.7e-08   35.0   0.4   2.3   1   1   1   2   2   2   2 -
BL07813_cuf2         -          KOG0619              -              2e-16   61.0  12.4   6.1e-08   33.2   0.7   3.1   1   1   0   2   2   2   2 -
BL97430_cuf0         -          KOG0619              -            2.3e-16   60.8   1.5   4.5e-16   59.8   1.3   1.5   1   1   0   1   1   1   1 -
BL21823_evm0         -          KOG0619              -            3.4e-16   60.2   0.9     9e-16   58.8   0.9   1.7   1   0   0   1   1   1   1 -
BL17283_cuf0         -          KOG0619              -            4.3e-16   59.9  10.2   1.7e-07   31.8   2.6   4.3   1   1   2   4   4   4   2 -
BL08613_cuf1         -          KOG0619              -            4.4e-16   59.8   6.2   1.2e-08   35.5   0.6   2.2   1   1   1   2   2   2   2 -
BL05927_evm0         -          KOG0619              -            5.5e-16   59.5   3.5   1.1e-10   42.1   0.6   2.2   1   1   0   1   1   1   1 -
BL07105_cuf2         -          KOG0619              -            7.4e-16   59.1   5.7   1.4e-08   35.3   0.2   2.2   1   1   1   2   2   2   2 -
BL30550_evm0         -          KOG0619              -            8.2e-16   59.0   1.4     1e-15   58.7   0.6   1.5   2   0   0   2   2   1   1 -
BL19894_cuf0         -          KOG0619              -              9e-16   58.8   6.7   7.9e-09   36.1   0.8   2.9   1   1   2   3   3   3   2 -
BL24372_evm2         -          KOG0619              -            9.6e-16   58.7   3.5   2.5e-15   57.4   3.5   1.6   1   1   0   1   1   1   1 -
BL21353_cuf2         -          KOG0619              -              1e-15   58.7   2.0   1.3e-15   58.4   2.0   1.0   1   0   0   1   1   1   1 -
BL09099_evm0         -          KOG0619              -            1.2e-15   58.5   6.8   1.8e-09   38.2   0.3   2.3   1   1   1   2   2   2   2 -
BL15597_cuf1         -          KOG0619              -            1.8e-15   57.9   4.9   4.6e-13   50.0   0.2   3.0   1   1   2   3   3   3   1 -
BL31818_evm0         -          KOG0619              -            2.5e-15   57.4   0.9   5.9e-15   56.2   0.8   1.4   1   1   0   1   1   1   1 -
BL08669_evm34        -          KOG0619              -            2.7e-15   57.3   6.4   3.3e-14   53.7   1.5   2.2   2   0   0   2   2   2   1 -
BL11478_cuf0         -          KOG0619              -            2.7e-15   57.3   0.2   5.9e-08   33.3   0.0   3.1   1   1   1   3   3   3   2 -
