#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0304920          -          KOG0200              -                  0 1078.5  38.5   1.4e-16   59.5   0.0  47.5  13   9  24  44  44  44  43 -
FBpp0073313          -          KOG0200              -            1.2e-47  162.1   0.0   8.9e-40  136.2   0.0   3.2   2   2   0   2   2   2   2 -
FBpp0071571          -          KOG0200              -            5.1e-47  160.1   0.0   3.4e-46  157.4   0.0   2.1   2   1   0   2   2   1   1 -
FBpp0086382          -          KOG0200              -            1.1e-46  158.9   0.0   5.9e-46  156.6   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0309655          -          KOG0200              -            1.6e-46  158.4  12.5   2.8e-10   38.7   0.0  10.5   5   3   4   9   9   9   8 -
FBpp0303364          -          KOG0200              -            1.7e-46  158.3   0.0   3.2e-46  157.5   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0309765          -          KOG0200              -            1.9e-46  158.2   0.0   4.3e-10   38.1   0.0   5.1   1   1   4   5   5   5   5 -
FBpp0073067          -          KOG0200              -            6.1e-45  153.2   0.0   7.6e-44  149.6   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0307368          -          KOG0200              -            7.4e-41  139.7   0.0   1.2e-17   63.1   0.0   3.7   1   1   2   3   3   3   3 -
FBpp0074733          -          KOG0200              -            4.2e-40  137.2   0.1   8.4e-39  132.9   0.1   2.2   1   1   0   1   1   1   1 -
FBpp0311546          -          KOG0200              -            3.2e-39  134.3   0.0   1.3e-13   49.7   0.0   5.7   4   1   1   5   5   5   5 -
FBpp0309170          -          KOG0200              -            3.3e-37  127.7   0.1   1.8e-15   55.9   0.0   3.7   4   0   0   4   4   3   3 -
FBpp0077154          -          KOG0200              -              6e-37  126.8   0.3   3.4e-18   64.9   0.0   6.6   2   2   4   6   6   6   4 -
FBpp0303242          -          KOG0200              -            1.6e-36  125.4   0.0   4.1e-36  124.1   0.0   1.4   1   1   0   1   1   1   1 -
FBpp0080765          -          KOG0200              -            6.2e-36  123.5   0.0     3e-35  121.2   0.0   1.7   1   1   0   1   1   1   1 -
FBpp0110338          -          KOG0200              -              3e-35  121.2   5.7   1.1e-07   30.1   0.0   6.0   3   1   3   6   6   6   6 -
FBpp0311099          -          KOG0200              -            4.4e-35  120.6   0.0   9.4e-35  119.6   0.0   1.4   2   0   0   2   2   1   1 -
FBpp0089215          -          KOG0200              -            6.1e-34  116.9   0.0   6.2e-14   50.8   0.0   3.1   1   1   2   3   3   3   3 -
FBpp0292850          -          KOG0200              -            1.9e-32  111.9   0.3   2.6e-30  104.9   0.3   2.7   1   1   0   1   1   1   1 -
FBpp0312489          -          KOG0200              -            3.5e-32  111.1   0.1   3.6e-08   31.7   0.0   5.9   2   1   1   5   5   5   4 -
FBpp0308795          -          KOG0200              -            4.5e-32  110.7   0.0   7.8e-32  109.9   0.0   1.3   1   0   0   1   1   1   1 -
FBpp0300449          -          KOG0200              -              2e-30  105.2   0.0   1.1e-15   56.6   0.0   6.2   2   2   3   5   5   4   4 -
FBpp0310458          -          KOG0200              -            1.1e-29  102.8   0.0   2.5e-28   98.3   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0078557          -          KOG0200              -            2.6e-29  101.6   0.1   5.2e-11   41.1   0.0   4.5   2   1   2   4   4   4   3 -
FBpp0291051          -          KOG0200              -            2.7e-28   98.2   0.0   3.8e-11   41.6   0.0   3.2   2   1   1   3   3   3   3 -
FBpp0310127          -          KOG0200              -            1.9e-27   95.4   0.0   3.6e-14   51.5   0.0   3.6   1   1   3   4   4   4   4 -
FBpp0077011          -          KOG0200              -            3.9e-25   87.8   0.2   2.9e-24   84.9   0.2   2.0   1   1   0   1   1   1   1 -
FBpp0086935          -          KOG0200              -            2.1e-24   85.4   0.0   1.7e-17   62.5   0.0   4.1   2   1   1   3   3   3   2 -
FBpp0289244          -          KOG0200              -            7.7e-24   83.5   1.6   9.3e-13   46.9   0.6   2.6   1   1   1   2   2   2   2 -
FBpp0073493          -          KOG0200              -            2.6e-23   81.8   0.0   2.2e-22   78.7   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0310679          -          KOG0200              -            2.7e-23   81.7   0.0   2.2e-22   78.7   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0087134          -          KOG0200              -            4.1e-23   81.1   0.3   4.6e-20   71.0   0.1   2.9   1   1   1   2   2   2   1 -
FBpp0303681          -          KOG0200              -            6.4e-23   80.5   0.0   4.7e-16   57.8   0.0   2.7   1   1   1   2   2   2   2 -
FBpp0077052          -          KOG0200              -            7.2e-23   80.3   0.0   3.6e-10   38.3   0.0   4.0   2   2   0   2   2   2   2 -
FBpp0083400          -          KOG0200              -            2.9e-21   75.0   0.0   2.5e-20   71.9   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0081135          -          KOG0200              -              4e-21   74.5   0.1     2e-16   59.0   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0308425          -          KOG0200              -            4.4e-21   74.4   0.2   6.7e-10   37.4   0.0   3.6   1   1   0   2   2   2   2 -
FBpp0301209          -          KOG0200              -            5.2e-21   74.2   0.2   1.2e-07   30.0   0.0   2.8   1   1   2   3   3   3   3 -
FBpp0071848          -          KOG0200              -            6.3e-21   73.9   0.1     5e-19   67.6   0.1   2.1   1   1   0   1   1   1   1 -
FBpp0271904          -          KOG0200              -            7.5e-21   73.6   0.0   7.1e-20   70.4   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0303278          -          KOG0200              -            2.5e-20   71.9   0.0   1.8e-19   69.0   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0079377          -          KOG0200              -            3.3e-20   71.5   0.1   6.3e-11   40.9   0.3   2.4   1   1   1   2   2   2   2 -
FBpp0072271          -          KOG0200              -            4.9e-20   70.9   0.0     5e-19   67.6   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0089374          -          KOG0200              -            7.6e-20   70.3   0.0     2e-18   65.6   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0291294          -          KOG0200              -            7.7e-20   70.3   0.1   3.4e-14   51.6   0.0   2.2   2   0   0   2   2   2   2 -
FBpp0305789          -          KOG0200              -            1.1e-19   69.8   0.6   9.2e-12   43.6   0.0   2.4   1   1   1   2   2   2   2 -
FBpp0080111          -          KOG0200              -            1.3e-19   69.5   0.0     3e-18   65.0   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0289484          -          KOG0200              -            1.5e-18   66.0   0.0   4.5e-18   64.5   0.0   1.6   1   1   0   1   1   1   1 -
FBpp0307979          -          KOG0200              -            1.7e-18   65.9   0.6   4.8e-17   61.1   0.0   2.9   2   1   0   2   2   1   1 -
FBpp0289242          -          KOG0200              -              3e-18   65.0   0.0   3.4e-17   61.6   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0081957          -          KOG0200              -            3.9e-18   64.7   0.0   2.6e-17   61.9   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0305929          -          KOG0200              -            5.4e-18   64.2   0.2     1e-12   46.7   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0082840          -          KOG0200              -            5.7e-18   64.1   0.0   7.3e-14   50.6   0.0   2.2   1   1   0   2   2   2   2 -
FBpp0291414          -          KOG0200              -            6.3e-18   64.0   0.0   6.2e-17   60.7   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0305585          -          KOG0200              -            7.3e-18   63.8   0.1   6.5e-07   27.6   0.0   3.6   1   1   3   4   4   4   4 -
FBpp0290641          -          KOG0200              -            8.3e-18   63.6   0.0   3.1e-17   61.7   0.0   1.7   1   1   0   1   1   1   1 -
FBpp0290642          -          KOG0200              -              1e-17   63.3   0.0   4.8e-17   61.1   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0087044          -          KOG0200              -            1.8e-17   62.5   0.3   1.1e-13   50.0   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0289176          -          KOG0200              -            2.5e-17   62.0   0.3   1.8e-12   45.9   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0303080          -          KOG0200              -            2.7e-17   61.9   0.0   6.1e-08   31.0   0.0   2.3   1   1   1   2   2   2   2 -
FBpp0084049          -          KOG0200              -            3.2e-17   61.6   0.0   4.7e-17   61.1   0.0   1.1   1   0   0   1   1   1   1 -
FBpp0078746          -          KOG0200              -            3.9e-17   61.4   0.5   1.9e-09   35.9   0.0   2.7   1   1   1   2   2   2   2 -
FBpp0083966          -          KOG0200              -            4.2e-17   61.2   0.0   1.5e-16   59.4   0.0   1.6   1   1   0   1   1   1   1 -
FBpp0111939          -          KOG0200              -            1.1e-16   59.9   0.5   1.7e-10   39.4   0.0   2.2   1   1   1   2   2   2   2 -
FBpp0077109          -          KOG0200              -            1.2e-16   59.8   0.2   1.5e-06   26.4   0.0   3.0   1   1   2   3   3   3   2 -
FBpp0111810          -          KOG0200              -            1.3e-16   59.7   0.0   1.3e-14   53.1   0.0   2.4   1   1   0   1   1   1   1 -
FBpp0086197          -          KOG0200              -            1.3e-16   59.7   0.0   1.2e-14   53.2   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0086483          -          KOG0200              -            1.7e-16   59.3   0.0   4.6e-15   54.5   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0079769          -          KOG0200              -            2.2e-16   58.9   0.0   1.3e-15   56.3   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0306703          -          KOG0200              -            2.5e-16   58.7   0.0     3e-15   55.1   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0300983          -          KOG0200              -            2.7e-16   58.6   0.0   3.8e-16   58.1   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0085688          -          KOG0200              -            2.7e-16   58.6   0.0   3.7e-15   54.8   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0081533          -          KOG0200              -            3.8e-16   58.1   0.0     3e-14   51.8   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0084716          -          KOG0200              -            4.7e-16   57.8   0.0   2.5e-10   38.9   0.0   2.4   1   1   1   2   2   2   2 -
FBpp0306904          -          KOG0200              -            5.2e-16   57.6   0.0   1.4e-10   39.7   0.0   3.5   1   1   1   2   2   2   2 -
FBpp0087515          -          KOG0200              -            8.7e-16   56.9   0.5   9.3e-14   50.2   0.3   2.0   1   1   0   1   1   1   1 -
FBpp0312361          -          KOG0200              -            1.1e-15   56.6   0.1   7.5e-10   37.3   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0070225          -          KOG0200              -            1.1e-15   56.6   0.0   4.7e-15   54.5   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0070326          -          KOG0200              -            1.3e-15   56.3   0.0   2.6e-14   52.0   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0297861          -          KOG0200              -            1.4e-15   56.2   0.0     8e-07   27.3   0.0   2.3   1   1   1   2   2   2   2 -
FBpp0290715          -          KOG0200              -            2.3e-15   55.5   0.0   4.9e-13   47.8   0.0   2.9   2   1   0   2   2   2   1 -
FBpp0291650          -          KOG0200              -            2.8e-15   55.2   0.0   1.6e-14   52.7   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0083130          -          KOG0200              -            2.9e-15   55.2   0.0   1.8e-14   52.5   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0086251          -          KOG0200              -            3.1e-15   55.1   0.0   8.3e-14   50.4   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0423155          -          KOG0200              -            4.2e-15   54.6   0.0   2.7e-14   52.0   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0292994          -          KOG0200              -            4.4e-15   54.6   0.0     2e-14   52.4   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0310694          -          KOG0200              -            4.7e-15   54.5   0.0   6.9e-15   53.9   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0083730          -          KOG0200              -            4.9e-15   54.4   0.0   3.3e-11   41.8   0.0   3.0   1   1   1   2   2   2   2 -
FBpp0074373          -          KOG0200              -            5.8e-15   54.2   0.0   4.1e-14   51.4   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0301098          -          KOG0200              -            6.6e-15   54.0   0.0   2.9e-07   28.8   0.0   4.0   2   2   1   4   4   4   2 -
FBpp0071732          -          KOG0200              -            6.6e-15   54.0   0.1   2.7e-11   42.1   0.1   2.1   1   1   1   2   2   2   2 -
FBpp0071733          -          KOG0200              -            7.9e-15   53.7   1.6   1.8e-06   26.1   0.5   2.6   1   1   0   2   2   2   2 -
FBpp0112423          -          KOG0200              -            1.2e-14   53.1   0.0   6.4e-11   40.8   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0072830          -          KOG0200              -            1.3e-14   53.0   0.4   9.2e-14   50.2   0.3   1.9   1   1   0   1   1   1   1 -
FBpp0083530          -          KOG0200              -            1.5e-14   52.8   0.1   6.8e-13   47.3   0.1   2.0   1   1   0   1   1   1   1 -
FBpp0077115          -          KOG0200              -            1.9e-14   52.5   0.0   0.00025   19.1   0.0   4.0   3   1   1   4   4   4   2 -
FBpp0297098          -          KOG0200              -            2.1e-14   52.4   0.0   1.1e-12   46.6   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0070723          -          KOG0200              -              3e-14   51.8   0.1   1.6e-09   36.2   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0085692          -          KOG0200              -            3.5e-14   51.6   0.0   1.1e-12   46.6   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0080441          -          KOG0200              -            3.5e-14   51.6   0.0   1.5e-12   46.2   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0083329          -          KOG0200              -              4e-14   51.4   0.0   1.4e-12   46.3   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0310041          -          KOG0200              -            4.7e-14   51.2   0.0   4.6e-13   47.9   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0303140          -          KOG0200              -              5e-14   51.1   0.1   8.8e-14   50.3   0.1   1.3   1   0   0   1   1   1   1 -
FBpp0078042          -          KOG0200              -            5.6e-14   50.9   0.0   7.8e-13   47.1   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0304084          -          KOG0200              -            5.6e-14   50.9   0.0   2.2e-06   25.8   0.0   4.0   3   1   1   4   4   4   2 -
FBpp0070537          -          KOG0200              -            5.7e-14   50.9   0.7   9.2e-05   20.5   0.1   4.4   2   2   3   5   5   4   3 -
FBpp0291484          -          KOG0200              -            5.9e-14   50.9   0.0   4.3e-13   48.0   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0291487          -          KOG0200              -            5.9e-14   50.9   0.0   4.3e-13   48.0   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0082641          -          KOG0200              -            6.4e-14   50.7   0.0   7.5e-13   47.2   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0309085          -          KOG0200              -            6.6e-14   50.7   0.0   7.4e-12   43.9   0.0   2.7   1   1   0   1   1   1   1 -
FBpp0079676          -          KOG0200              -            7.9e-14   50.4   0.0   1.4e-12   46.3   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0423143          -          KOG0200              -            9.1e-14   50.2   0.0   5.4e-13   47.7   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0082277          -          KOG0200              -              1e-13   50.0   0.0   1.2e-12   46.6   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0306608          -          KOG0200              -            1.2e-13   49.8   0.0   6.8e-12   44.0   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0311556          -          KOG0200              -            1.3e-13   49.7   0.3     5e-09   34.6   0.0   3.2   2   1   1   3   3   3   1 -
FBpp0111769          -          KOG0200              -            1.6e-13   49.5   0.0   5.9e-13   47.6   0.0   1.7   1   1   0   1   1   1   1 -
FBpp0080157          -          KOG0200              -            1.7e-13   49.3   4.9     9e-09   33.7   0.0   3.1   2   1   0   3   3   3   2 -
FBpp0289672          -          KOG0200              -            2.2e-13   49.0   0.0   6.6e-13   47.4   0.0   1.6   1   1   0   1   1   1   1 -
FBpp0074540          -          KOG0200              -            2.6e-13   48.7   0.2   5.4e-11   41.1   0.0   3.3   2   1   0   2   2   1   1 -
FBpp0303101          -          KOG0200              -              3e-13   48.5   0.0   3.8e-12   44.9   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0078014          -          KOG0200              -            4.2e-13   48.0   0.3   1.3e-11   43.1   0.0   2.6   2   1   0   2   2   1   1 -
FBpp0078832          -          KOG0200              -            4.3e-13   48.0   0.0   1.9e-12   45.8   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0292059          -          KOG0200              -            4.6e-13   47.9   0.0   3.1e-08   32.0   0.0   2.3   1   1   1   2   2   2   2 -
FBpp0292090          -          KOG0200              -            7.6e-13   47.2   0.0   1.6e-10   39.5   0.0   2.5   1   1   0   1   1   1   1 -
FBpp0309452          -          KOG0200              -            8.1e-13   47.1   0.0   8.1e-12   43.8   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0083967          -          KOG0200              -            8.6e-13   47.0   0.0   9.2e-12   43.6   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0079641          -          KOG0200              -            9.5e-13   46.9   0.6   6.4e-12   44.1   0.6   1.9   1   1   0   1   1   1   1 -
FBpp0086196          -          KOG0200              -            1.4e-12   46.3   0.0     9e-11   40.3   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0084728          -          KOG0200              -            1.5e-12   46.2   0.0   9.6e-11   40.2   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0293373          -          KOG0200              -            1.8e-12   46.0   3.2     0.001   17.1   0.2   4.6   2   2   1   4   4   4   2 -
FBpp0078993          -          KOG0200              -              2e-12   45.8   0.0   1.2e-05   23.4   0.0   3.1   2   1   0   2   2   2   2 -
FBpp0088511          -          KOG0200              -            4.7e-12   44.6   0.0   9.2e-11   40.3   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0311219          -          KOG0200              -            5.4e-12   44.4   0.1   5.1e-06   24.6   0.0   2.1   1   1   0   2   2   2   2 -
FBpp0289788          -          KOG0200              -            5.6e-12   44.3   0.0   1.3e-10   39.8   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0075445          -          KOG0200              -            6.1e-12   44.2   0.6   2.7e-10   38.7   0.0   2.8   3   0   0   3   3   3   1 -
FBpp0289780          -          KOG0200              -            6.1e-12   44.2   0.0   8.6e-12   43.7   0.0   1.1   1   0   0   1   1   1   1 -
FBpp0074060          -          KOG0200              -            7.2e-12   44.0   0.0   2.8e-10   38.7   0.0   2.0   1   1   0   1   1   1   1 -
FBpp0110579          -          KOG0200              -            7.5e-12   43.9   0.0   1.8e-10   39.3   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0076824          -          KOG0200              -            8.1e-12   43.8   0.0   6.7e-10   37.5   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0301280          -          KOG0200              -            8.3e-12   43.8   0.0   8.5e-08   30.5   0.0   3.4   2   2   0   2   2   2   1 -
FBpp0099722          -          KOG0200              -            1.4e-11   43.0   0.0   3.2e-11   41.8   0.0   1.6   1   1   0   1   1   1   1 -
FBpp0110103          -          KOG0200              -            2.9e-11   41.9   0.8   5.3e-07   27.9   0.1   4.1   3   2   0   4   4   4   1 -
FBpp0081870          -          KOG0200              -              4e-11   41.5   0.1     7e-05   20.9   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0086695          -          KOG0200              -            4.1e-11   41.4   0.4     6e-10   37.6   0.0   2.6   2   1   0   2   2   1   1 -
FBpp0078417          -          KOG0200              -            5.3e-11   41.1   0.0   2.2e-07   29.1   0.0   3.0   2   1   0   2   2   2   1 -
FBpp0110105          -          KOG0200              -            1.3e-10   39.8   5.4   4.2e-07   28.2   0.0   3.4   3   1   0   3   3   2   2 -
FBpp0305462          -          KOG0200              -            1.5e-10   39.6   0.2   6.9e-07   27.5   0.1   2.1   2   0   0   2   2   2   2 -
FBpp0084549          -          KOG0200              -            1.5e-10   39.6   0.0     2e-10   39.2   0.0   1.2   1   0   0   1   1   1   1 -
FBpp0077908          -          KOG0200              -            1.7e-10   39.4   0.9   1.1e-09   36.8   0.9   2.1   1   1   0   1   1   1   1 -
FBpp0088350          -          KOG0200              -            1.8e-10   39.4   0.0     6e-09   34.3   0.0   2.2   1   1   0   1   1   1   1 -
FBpp0082682          -          KOG0200              -            2.3e-10   39.0   0.0   4.7e-07   28.1   0.0   2.1   1   1   1   2   2   2   2 -
FBpp0303272          -          KOG0200              -            2.4e-10   38.9   0.0   3.9e-05   21.7   0.1   3.9   4   1   1   5   5   4   2 -
FBpp0073106          -          KOG0200              -            2.9e-10   38.6   0.1   2.7e-07   28.8   0.0   2.0   1   1   1   2   2   2   1 -
FBpp0099910          -          KOG0200              -            3.2e-10   38.5   0.0   2.1e-07   29.2   0.0   2.0   1   1   1   2   2   2   1 -
FBpp0311578          -          KOG0200              -            3.4e-10   38.4   0.0   0.00056   17.9   0.0   2.7   1   1   1   2   2   2   2 -
FBpp0087739          -          KOG0200              -            3.7e-10   38.3   0.0   1.2e-09   36.6   0.0   1.8   1   1   0   1   1   1   1 -
FBpp0304826          -          KOG0200              -              5e-10   37.9   0.0   1.5e-08   33.0   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0075283          -          KOG0200              -            5.9e-10   37.6   0.1   2.1e-08   32.5   0.1   2.2   1   1   0   1   1   1   1 -
FBpp0073551          -          KOG0200              -            6.2e-10   37.6   0.0   5.2e-09   34.5   0.0   1.9   1   1   0   1   1   1   1 -
FBpp0303260          -          KOG0200              -            1.1e-09   36.8   1.6   1.7e-07   29.5   0.0   3.5   2   1   1   3   3   3   1 -
FBpp0076098          -          KOG0200              -            1.1e-09   36.8   0.2   1.1e-09   36.8   0.2   2.2   2   0   0   2   2   2   1 -
FBpp0082016          -          KOG0200              -            1.4e-09   36.4   0.0   4.5e-08   31.4   0.0   1.7   1   1   1   2   2   2   2 -
FBpp0079836          -          KOG0200              -            1.4e-09   36.4   0.1   2.2e-09   35.7   0.1   1.2   1   0   0   1   1   1   1 -
FBpp0079534          -          KOG0200              -            1.6e-09   36.2   0.0   4.5e-08   31.4   0.0   2.3   1   1   0   1   1   1   1 -
FBpp0076790          -          KOG0200              -            1.9e-09   36.0   0.6   7.2e-09   34.1   0.1   2.0   2   0   0   2   2   2   1 -
FBpp0111687          -          KOG0200              -              2e-09   35.9   0.0   2.8e-06   25.5   0.0   3.2   1   1   1   3   3   3   2 -
FBpp0073730          -          KOG0200              -            2.5e-09   35.6   0.0   6.7e-05   20.9   0.0   2.0   1   1   1   2   2   2   2 -
FBpp0307433          -          KOG0200              -            2.8e-09   35.4   0.0   1.3e-07   29.9   0.0   2.1   1   1   0   1   1   1   1 -
FBpp0084112          -          KOG0200              -            3.3e-09   35.2   0.0   1.7e-08   32.8   0.0   1.8   1   1   0   1   1   1   1 -
