#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSCINP00000013676   -          KOG0200              -                  0 1427.2 107.7   2.3e-17   62.4   0.0  68.1  54   5   8  64  64  64  56 -
ENSCINP00000015858   -          KOG0200              -                  0 1246.3   0.0   1.7e-24   85.9   0.0  37.0   6   6  20  32  32  32  31 -
ENSCINP00000004089   -          KOG0200              -              4e-49  167.3   0.0   5.5e-49  166.8   0.0   1.1   1   0   0   1   1   1   1 -
ENSCINP00000016885   -          KOG0200              -            2.2e-48  164.9   0.0   7.1e-48  163.2   0.0   1.7   1   1   0   1   1   1   1 -
ENSCINP00000025214   -          KOG0200              -            3.5e-48  164.2   0.0   1.7e-47  161.9   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000013813   -          KOG0200              -            3.3e-47  161.0   0.0     1e-46  159.4   0.0   1.6   1   1   0   1   1   1   1 -
ENSCINP00000006994   -          KOG0200              -              5e-47  160.3   0.0   8.3e-47  159.6   0.0   1.3   1   0   0   1   1   1   1 -
ENSCINP00000022519   -          KOG0200              -            4.8e-46  157.1   0.1   3.7e-45  154.2   0.1   2.0   1   1   0   1   1   1   1 -
ENSCINP00000000454   -          KOG0200              -            2.5e-45  154.7   0.2   3.1e-44  151.1   0.2   2.1   1   1   0   1   1   1   1 -
ENSCINP00000026642   -          KOG0200              -            6.8e-45  153.3   0.0   3.1e-43  147.8   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000006067   -          KOG0200              -            4.7e-44  150.5   1.3   5.2e-44  150.4   0.1   1.6   2   0   0   2   2   1   1 -
ENSCINP00000018455   -          KOG0200              -            9.4e-44  149.5   0.0   1.4e-43  149.0   0.0   1.2   1   0   0   1   1   1   1 -
ENSCINP00000017429   -          KOG0200              -            3.8e-41  140.9   0.0   4.9e-41  140.6   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000024427   -          KOG0200              -            1.4e-39  135.7   0.0   1.3e-33  116.0   0.0   3.1   1   1   1   2   2   2   2 -
ENSCINP00000011853   -          KOG0200              -            2.2e-38  131.8   0.0   2.5e-38  131.6   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000025819   -          KOG0200              -              9e-35  119.9   0.0     1e-34  119.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000032540   -          KOG0200              -            3.1e-34  118.1   0.2   1.9e-14   52.7   0.0   4.0   1   1   1   3   3   3   3 -
ENSCINP00000014364   -          KOG0200              -            1.6e-31  109.2   0.0   6.6e-12   44.3   0.0   3.1   2   1   1   3   3   3   3 -
ENSCINP00000036298   -          KOG0200              -            2.1e-31  108.7   0.1   2.5e-31  108.5   0.1   1.0   1   0   0   1   1   1   1 -
ENSCINP00000014238   -          KOG0200              -            6.5e-31  107.1   0.2   4.3e-22   78.0   0.0   2.1   2   0   0   2   2   2   2 -
ENSCINP00000014525   -          KOG0200              -            1.4e-30  106.0   0.0   2.1e-12   46.0   0.0   4.6   2   1   3   5   5   4   3 -
ENSCINP00000009061   -          KOG0200              -            3.3e-28   98.2   4.7    0.0002   19.7   0.0   7.1   4   2   3   7   7   7   5 -
ENSCINP00000015861   -          KOG0200              -            6.5e-28   97.2   0.0   1.6e-14   52.9   0.0   3.8   1   1   1   3   3   3   2 -
ENSCINP00000032400   -          KOG0200              -            6.7e-27   93.9   0.0   1.1e-26   93.2   0.0   1.4   1   1   0   1   1   1   1 -
ENSCINP00000021797   -          KOG0200              -            2.4e-26   92.0   0.2   3.2e-26   91.6   0.2   1.1   1   0   0   1   1   1   1 -
ENSCINP00000030254   -          KOG0200              -            2.7e-25   88.6   0.5   2.4e-10   39.2   0.0   3.4   2   1   2   4   4   3   3 -
ENSCINP00000032689   -          KOG0200              -            9.1e-24   83.5   0.0   1.9e-05   23.0   0.0   5.9   2   2   4   6   6   6   4 -
ENSCINP00000023589   -          KOG0200              -            5.2e-23   81.0   0.0   5.9e-23   80.8   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000007693   -          KOG0200              -            7.5e-23   80.5   0.0   1.1e-21   76.6   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000033286   -          KOG0200              -            2.5e-22   78.8   0.0   2.7e-22   78.7   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000032441   -          KOG0200              -            3.1e-22   78.5   0.0   1.4e-20   73.0   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000008251   -          KOG0200              -            6.1e-22   77.5   0.0   4.6e-20   71.3   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000009785   -          KOG0200              -            2.6e-21   75.4   0.0   2.9e-21   75.2   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000005070   -          KOG0200              -              3e-21   75.2   0.0   1.1e-19   70.1   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000001212   -          KOG0200              -              5e-21   74.5   0.0   6.5e-20   70.8   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000032277   -          KOG0200              -            1.9e-20   72.6   0.0   1.9e-20   72.5   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000024537   -          KOG0200              -            1.3e-19   69.8   0.0   1.8e-18   66.0   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000016756   -          KOG0200              -            1.4e-19   69.7   0.0   3.3e-18   65.2   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000034515   -          KOG0200              -            1.5e-19   69.6   0.0     1e-17   63.6   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000013379   -          KOG0200              -            2.8e-19   68.7   0.6   6.5e-18   64.2   0.6   1.9   1   1   0   1   1   1   1 -
ENSCINP00000018668   -          KOG0200              -            3.4e-19   68.4   0.0   3.5e-07   28.7   0.0   4.0   3   1   0   3   3   3   2 -
ENSCINP00000031756   -          KOG0200              -            3.8e-19   68.3   0.1   4.8e-19   67.9   0.1   1.1   1   0   0   1   1   1   1 -
ENSCINP00000005062   -          KOG0200              -            6.8e-19   67.4   0.0   3.7e-17   61.7   0.0   2.4   1   1   0   1   1   1   1 -
ENSCINP00000018002   -          KOG0200              -            7.3e-19   67.3   0.0   8.2e-17   60.5   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000005959   -          KOG0200              -            8.9e-19   67.0   0.2   8.2e-18   63.8   0.2   2.0   1   1   0   1   1   1   1 -
ENSCINP00000033800   -          KOG0200              -              9e-19   67.0   0.2   3.5e-12   45.3   0.2   3.3   1   1   2   3   3   3   2 -
ENSCINP00000015322   -          KOG0200              -            1.1e-18   66.7   2.9   1.9e-08   32.9   0.1   3.6   2   1   2   4   4   3   3 -
ENSCINP00000018766   -          KOG0200              -            1.3e-18   66.5   0.0     2e-17   62.6   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000006320   -          KOG0200              -            1.4e-18   66.4   0.0   3.8e-17   61.7   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000011860   -          KOG0200              -            4.2e-18   64.8   0.0   3.2e-17   61.9   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000005172   -          KOG0200              -            5.6e-18   64.4   0.1   9.4e-17   60.4   0.1   2.0   1   1   0   1   1   1   1 -
ENSCINP00000011573   -          KOG0200              -            5.9e-18   64.3   0.0   7.2e-09   34.3   0.0   3.9   2   2   0   2   2   2   2 -
ENSCINP00000007891   -          KOG0200              -            7.4e-18   64.0   0.1   3.9e-16   58.3   0.1   2.0   1   1   0   1   1   1   1 -
ENSCINP00000015329   -          KOG0200              -            8.9e-18   63.7   0.0   1.2e-16   60.0   0.0   2.3   1   1   0   1   1   1   1 -
ENSCINP00000010324   -          KOG0200              -            9.2e-18   63.7   0.1   1.1e-11   43.6   0.1   2.2   1   1   1   2   2   2   2 -
ENSCINP00000013734   -          KOG0200              -            2.4e-17   62.3   0.0     7e-16   57.5   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000013103   -          KOG0200              -            2.4e-17   62.3   0.0   4.9e-16   58.0   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000018760   -          KOG0200              -            2.7e-17   62.2   0.1     4e-17   61.6   0.1   1.2   1   0   0   1   1   1   1 -
ENSCINP00000035945   -          KOG0200              -            3.7e-17   61.7   0.1   7.6e-08   30.9   0.0   2.0   1   1   1   2   2   2   2 -
ENSCINP00000007712   -          KOG0200              -            7.1e-17   60.8   0.1   9.5e-17   60.3   0.1   1.1   1   0   0   1   1   1   1 -
ENSCINP00000018367   -          KOG0200              -            7.4e-17   60.7   4.4   4.2e-16   58.2   4.4   1.8   1   1   0   1   1   1   1 -
ENSCINP00000035230   -          KOG0200              -            9.1e-17   60.4   0.0   3.1e-11   42.1   0.0   2.9   1   1   1   3   3   3   2 -
ENSCINP00000000208   -          KOG0200              -            1.6e-16   59.6   0.0   6.8e-15   54.2   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000028908   -          KOG0200              -            2.4e-16   59.0   0.0   7.7e-08   30.9   0.0   2.5   1   1   1   2   2   2   2 -
ENSCINP00000023262   -          KOG0200              -            2.9e-16   58.7   0.0   5.9e-15   54.4   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000019622   -          KOG0200              -            4.8e-16   58.0   0.1   1.5e-14   53.0   0.1   2.8   1   1   0   1   1   1   1 -
ENSCINP00000014470   -          KOG0200              -            5.2e-16   57.9   0.0     6e-14   51.1   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000006268   -          KOG0200              -            6.5e-16   57.6   0.0   3.5e-09   35.3   0.0   3.0   2   1   0   2   2   2   2 -
ENSCINP00000016265   -          KOG0200              -            1.5e-15   56.3   0.2   5.3e-15   54.6   0.2   1.8   1   1   0   1   1   1   1 -
ENSCINP00000017101   -          KOG0200              -            1.6e-15   56.3   0.0   4.3e-15   54.9   0.0   1.6   1   1   0   1   1   1   1 -
ENSCINP00000018412   -          KOG0200              -            1.8e-15   56.1   0.0   3.1e-13   48.7   0.0   2.8   2   1   0   2   2   1   1 -
ENSCINP00000015359   -          KOG0200              -            2.3e-15   55.8   0.0   2.3e-14   52.4   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000026188   -          KOG0200              -            2.7e-15   55.5   2.0   2.2e-14   52.6   2.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000014922   -          KOG0200              -            4.2e-15   54.9   0.0   6.8e-14   50.9   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000012931   -          KOG0200              -            4.7e-15   54.7   0.1   6.8e-15   54.2   0.1   1.2   1   0   0   1   1   1   1 -
ENSCINP00000017438   -          KOG0200              -            5.2e-15   54.6   0.0   1.9e-13   49.4   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000010210   -          KOG0200              -            5.4e-15   54.5   0.0   9.6e-08   30.6   0.0   3.0   2   1   0   3   3   3   2 -
ENSCINP00000012445   -          KOG0200              -            6.3e-15   54.3   0.0   9.6e-14   50.4   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000004302   -          KOG0200              -            7.7e-15   54.0   1.3   1.3e-13   50.0   1.3   1.9   1   1   0   1   1   1   1 -
ENSCINP00000007493   -          KOG0200              -            1.2e-14   53.4   0.0   1.9e-14   52.8   0.0   1.2   1   0   0   1   1   1   1 -
ENSCINP00000025312   -          KOG0200              -            1.4e-14   53.2   0.1   4.7e-05   21.7   0.0   3.2   1   1   1   3   3   3   3 -
ENSCINP00000030372   -          KOG0200              -            3.1e-14   52.1   0.0   5.4e-14   51.2   0.0   1.3   1   0   0   1   1   1   1 -
ENSCINP00000014552   -          KOG0200              -            3.2e-14   52.0   0.0   8.9e-12   43.9   0.0   2.1   1   1   0   2   2   2   1 -
ENSCINP00000026008   -          KOG0200              -            3.8e-14   51.7   0.4     1e-11   43.7   0.4   2.1   1   1   0   1   1   1   1 -
ENSCINP00000002522   -          KOG0200              -            4.1e-14   51.6   0.0   7.3e-14   50.8   0.0   1.3   1   0   0   1   1   1   1 -
ENSCINP00000036239   -          KOG0200              -            4.9e-14   51.4   0.5     5e-13   48.0   0.5   1.9   1   1   0   1   1   1   1 -
ENSCINP00000019505   -          KOG0200              -            5.1e-14   51.3   0.1   2.3e-12   45.9   0.1   2.2   1   1   0   1   1   1   1 -
ENSCINP00000019973   -          KOG0200              -            5.6e-14   51.2   0.0   1.2e-13   50.1   0.0   1.5   1   0   0   1   1   1   1 -
ENSCINP00000001561   -          KOG0200              -            6.2e-14   51.0   0.0   6.5e-13   47.7   0.0   2.3   2   1   0   2   2   1   1 -
ENSCINP00000005492   -          KOG0200              -            6.2e-14   51.0   0.0   3.7e-13   48.5   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000035929   -          KOG0200              -            6.4e-14   51.0   0.0   9.2e-14   50.5   0.0   1.2   1   0   0   1   1   1   1 -
ENSCINP00000010911   -          KOG0200              -            7.2e-14   50.8   0.2   1.1e-12   47.0   0.2   2.2   1   1   0   1   1   1   1 -
ENSCINP00000002924   -          KOG0200              -            8.3e-14   50.6   0.0   1.8e-08   33.0   0.0   2.1   1   1   1   2   2   2   2 -
ENSCINP00000032182   -          KOG0200              -              9e-14   50.5   0.0   1.5e-13   49.8   0.0   1.3   1   1   0   1   1   1   1 -
ENSCINP00000026009   -          KOG0200              -            9.8e-14   50.4   0.0   1.4e-13   49.9   0.0   1.2   1   0   0   1   1   1   1 -
ENSCINP00000034450   -          KOG0200              -            1.1e-13   50.2   0.0   7.9e-12   44.1   0.0   2.7   2   1   0   2   2   2   1 -
ENSCINP00000004186   -          KOG0200              -            1.3e-13   50.0   0.0   7.8e-12   44.1   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000006982   -          KOG0200              -            2.2e-13   49.2   0.0   5.5e-13   47.9   0.0   1.5   1   1   0   1   1   1   1 -
ENSCINP00000030021   -          KOG0200              -            2.5e-13   49.1   0.0   1.1e-12   46.9   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000021864   -          KOG0200              -            3.4e-13   48.6   0.0   3.7e-12   45.2   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000021721   -          KOG0200              -            4.1e-13   48.3   0.1   6.5e-13   47.7   0.1   1.2   1   0   0   1   1   1   1 -
ENSCINP00000034317   -          KOG0200              -            4.8e-13   48.1   0.2   4.2e-11   41.7   0.2   2.1   1   1   0   1   1   1   1 -
ENSCINP00000023118   -          KOG0200              -            5.7e-13   47.9   0.0   1.6e-11   43.0   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000034819   -          KOG0200              -            5.8e-13   47.8   0.0   1.4e-12   46.6   0.0   1.5   1   1   0   1   1   1   1 -
ENSCINP00000036385   -          KOG0200              -              1e-12   47.0   0.1     1e-12   47.0   0.1   1.0   1   0   0   1   1   1   1 -
ENSCINP00000005700   -          KOG0200              -            1.1e-12   47.0   0.0     2e-12   46.1   0.0   1.4   1   1   0   1   1   1   1 -
ENSCINP00000015099   -          KOG0200              -            1.1e-12   46.9   0.0   2.6e-12   45.7   0.0   1.5   1   1   0   1   1   1   1 -
ENSCINP00000002159   -          KOG0200              -            1.1e-12   46.9   0.0   8.5e-10   37.4   0.0   3.0   1   1   1   2   2   2   1 -
ENSCINP00000026529   -          KOG0200              -            1.2e-12   46.8   0.0   3.4e-12   45.3   0.0   1.6   1   1   0   1   1   1   1 -
ENSCINP00000017140   -          KOG0200              -            1.4e-12   46.6   0.1   4.3e-11   41.7   0.1   2.2   1   1   0   1   1   1   1 -
ENSCINP00000025812   -          KOG0200              -            1.9e-12   46.1   0.0   2.3e-12   45.9   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000011009   -          KOG0200              -            2.2e-12   45.9   0.1   2.7e-11   42.3   0.0   2.0   1   1   1   2   2   2   1 -
ENSCINP00000031091   -          KOG0200              -            2.5e-12   45.8   0.7   7.1e-06   24.4   0.1   2.0   1   1   1   2   2   2   2 -
ENSCINP00000030508   -          KOG0200              -            2.5e-12   45.7   0.0   2.5e-06   25.9   0.0   3.1   1   1   0   2   2   2   2 -
ENSCINP00000010847   -          KOG0200              -            3.9e-12   45.1   0.0   4.7e-11   41.5   0.0   1.9   1   1   0   1   1   1   1 -
ENSCINP00000036105   -          KOG0200              -            4.3e-12   45.0   0.0   1.2e-11   43.5   0.0   1.6   1   1   0   1   1   1   1 -
ENSCINP00000007990   -          KOG0200              -            5.3e-12   44.6   0.0   1.2e-10   40.2   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000035395   -          KOG0200              -            8.3e-12   44.0   0.0   1.7e-10   39.7   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000023376   -          KOG0200              -            9.7e-12   43.8   0.0   5.9e-10   37.9   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000020105   -          KOG0200              -            1.2e-11   43.5   0.0   2.8e-10   39.0   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000033642   -          KOG0200              -            1.3e-11   43.3   0.0   5.7e-10   37.9   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000022067   -          KOG0200              -            1.5e-11   43.2   0.1   6.2e-11   41.1   0.1   1.8   1   1   0   1   1   1   1 -
ENSCINP00000008145   -          KOG0200              -            1.9e-11   42.8   0.0   3.1e-11   42.1   0.0   1.5   1   1   0   1   1   1   1 -
ENSCINP00000018935   -          KOG0200              -              2e-11   42.7   0.0   1.5e-09   36.6   0.0   2.3   1   1   0   1   1   1   1 -
ENSCINP00000006262   -          KOG0200              -            2.5e-11   42.4   0.0   2.8e-11   42.3   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000024990   -          KOG0200              -            2.6e-11   42.4   0.2    0.0013   16.9   0.0   4.1   1   1   2   4   4   4   2 -
ENSCINP00000019808   -          KOG0200              -            3.2e-11   42.1   0.0   6.7e-10   37.7   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000024167   -          KOG0200              -            3.6e-11   41.9   0.0   0.00029   19.1   0.0   3.1   1   1   2   3   3   3   2 -
ENSCINP00000031708   -          KOG0200              -            5.1e-11   41.4   0.0   4.2e-09   35.1   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000007900   -          KOG0200              -            5.8e-11   41.2   0.0   6.8e-10   37.7   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000031002   -          KOG0200              -            6.5e-11   41.1   0.0   6.7e-11   41.0   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000024025   -          KOG0200              -            9.4e-11   40.5   0.0   6.6e-10   37.7   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000009532   -          KOG0200              -            1.1e-10   40.4   0.0     2e-08   32.8   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000007921   -          KOG0200              -            1.9e-10   39.6   0.0   1.4e-07   30.1   0.0   2.1   1   1   1   2   2   2   1 -
ENSCINP00000034265   -          KOG0200              -            2.6e-10   39.1   0.3   1.7e-06   26.5   0.0   1.9   1   1   1   2   2   2   2 -
ENSCINP00000007354   -          KOG0200              -            3.3e-10   38.7   0.0     7e-08   31.0   0.0   2.0   1   1   1   2   2   2   1 -
ENSCINP00000017724   -          KOG0200              -              5e-10   38.1   0.0     3e-09   35.6   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000031850   -          KOG0200              -            5.4e-10   38.0   0.0   1.4e-08   33.4   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000000891   -          KOG0200              -            5.9e-10   37.9   0.9   2.3e-08   32.6   0.9   2.4   1   1   0   1   1   1   1 -
ENSCINP00000014396   -          KOG0200              -            6.1e-10   37.8   0.0   1.4e-08   33.3   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000024026   -          KOG0200              -              1e-09   37.1   0.6   5.6e-05   21.5   0.0   2.0   1   1   1   2   2   2   2 -
ENSCINP00000025195   -          KOG0200              -            1.3e-09   36.7   0.0     3e-05   22.4   0.0   2.0   2   0   0   2   2   2   2 -
ENSCINP00000024069   -          KOG0200              -            1.6e-09   36.5   4.5   8.3e-09   34.1   0.0   3.2   2   2   1   3   3   1   1 -
ENSCINP00000010112   -          KOG0200              -              2e-09   36.2   0.2   2.4e-08   32.6   0.2   2.0   1   1   0   1   1   1   1 -
ENSCINP00000016461   -          KOG0200              -            2.4e-09   35.9   1.3   6.9e-06   24.5   0.0   2.1   2   0   0   2   2   2   2 -
ENSCINP00000004087   -          KOG0200              -              3e-09   35.6   0.0   1.1e-07   30.4   0.0   2.1   1   1   0   1   1   1   1 -
ENSCINP00000030607   -          KOG0200              -              3e-09   35.5   0.0     3e-07   29.0   0.0   2.0   1   1   0   2   2   2   1 -
ENSCINP00000021745   -          KOG0200              -            5.9e-09   34.6   0.1   7.6e-08   30.9   0.1   1.9   1   1   0   1   1   1   1 -
ENSCINP00000007007   -          KOG0200              -            6.7e-09   34.4   0.0   4.6e-08   31.6   0.0   1.9   2   0   0   2   2   2   1 -
ENSCINP00000013406   -          KOG0200              -            6.8e-09   34.4   0.2   3.4e-07   28.8   0.2   2.1   1   1   0   1   1   1   1 -
ENSCINP00000000633   -          KOG0200              -            6.9e-09   34.4   0.0   3.4e-07   28.8   0.0   2.9   2   1   0   2   2   2   1 -
ENSCINP00000007374   -          KOG0200              -            8.3e-09   34.1   0.0   3.5e-08   32.0   0.0   1.8   1   1   0   1   1   1   1 -
ENSCINP00000012378   -          KOG0200              -            8.5e-09   34.1   0.1      0.52    8.3   0.0   4.8   3   1   2   5   5   5   0 -
ENSCINP00000012003   -          KOG0200              -              9e-09   34.0   0.0   1.1e-08   33.7   0.0   1.2   1   0   0   1   1   1   1 -
ENSCINP00000031071   -          KOG0200              -            1.1e-08   33.7   0.1   1.5e-08   33.2   0.1   1.1   1   0   0   1   1   1   1 -
ENSCINP00000026530   -          KOG0200              -            1.1e-08   33.7   0.0   2.2e-08   32.7   0.0   1.6   1   1   0   1   1   1   1 -
ENSCINP00000008420   -          KOG0200              -            1.1e-08   33.7   0.0   1.4e-06   26.7   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000007398   -          KOG0200              -            1.1e-08   33.7   0.2   3.9e-06   25.3   0.0   2.3   2   0   0   2   2   2   1 -
ENSCINP00000034118   -          KOG0200              -            1.4e-08   33.3   0.0   2.6e-07   29.2   0.0   2.0   1   1   0   1   1   1   1 -
ENSCINP00000031218   -          KOG0200              -              2e-08   32.9   0.0   2.1e-08   32.8   0.0   1.1   1   0   0   1   1   1   1 -
ENSCINP00000006222   -          KOG0200              -            2.1e-08   32.8   0.0   1.6e-06   26.6   0.0   2.2   1   1   0   1   1   1   1 -
ENSCINP00000033382   -          KOG0200              -            2.1e-08   32.8   0.0   2.6e-08   32.5   0.0   1.0   1   0   0   1   1   1   1 -
ENSCINP00000033811   -          KOG0200              -            2.2e-08   32.7   0.0   7.9e-08   30.9   0.0   1.7   1   1   0   1   1   1   1 -
ENSCINP00000029797   -          KOG0200              -            3.4e-08   32.1   0.0     4e-06   25.2   0.0   2.3   2   1   1   3   3   2   1 -
